Rang;Ouverture;Base;Lumiere;Ouverture;Base;Lumiere;Ouverture-Base;Ouverture-Lumiere;Lumiere-Base;Orientation
1;Bourges;Reims;La Ferté-Alais;24.78;27.84;127.38;271.26;159.36;143.22;CCW
2;Bourges;Bouvines;Observatoire de Paris;9.5;9.1;161.4;393.36;195.11;203.51;CCW
3;Bourges;Pont de Noirmoutier;Lac-de-Trémelin;22.28;81.06;76.66;346.27;351.45;134.64;CW
4;Bourges;Fontevraud;Beaufort-en-Vallée;7.95;127.49;44.56;178.24;201.53;35.06;CW
5;Bourges;Saint-Amour;Jumièges;130.17;27.5;22.32;235.93;286.36;474.19;CCW
6;Bourges;Rocamadour;Taillebourg;46.76;69.31;63.93;260.4;271.59;211.45;CW
7;Bourges;Le Goulet;Pic du Midi;140.87;26.54;12.59;240.68;493.49;696.8;CCW
8;Bourges;Saint-Amour;Grotte de Lombrives;81.07;71.09;27.84;235.93;477.0;498.43;CW
9;Bourges;Metz;Bordeaux;174.09;2.86;3.05;361.19;339.46;699.72;CW
10;Bourges;Le Goulet;Beaugency;19.09;11.94;148.97;240.68;96.67;152.65;CCW
11;Bourges;Pont de Noirmoutier;Mirebeau;8.39;8.09;163.52;346.27;171.74;178.13;CCW
12;Bourges;Rocamadour;St Julien de Mailloc;132.27;24.35;23.37;260.4;270.84;485.69;CW
13;Bourges;Reims;Thury-sous-Clermont;27.17;68.29;84.54;271.26;253.07;124.64;CCW
14;Bourges;Gergovie;Solesmes;134.26;26.56;19.18;161.91;220.68;353.24;CW
15;Bourges;Carignan;Bâle;45.44;75.42;59.14;350.1;395.23;290.61;CW
16;Bourges;Île-d'Aix;Mayence;163.19;10.86;5.95;298.19;541.31;831.26;CW
17;Bourges;Carignan;Boulogne-sur-Mer;42.58;80.1;57.32;350.1;409.47;281.75;CCW
18;Bourges;Bouvines;Waterloo;11.33;106.39;62.28;393.36;426.4;87.51;CW
19;Bourges;Châlus;Saint-Valery-sur-Somme;136.01;28.72;15.28;192.14;350.14;506.16;CW
20;Bourges;Gergovie;Pevensey;178.74;0.92;0.34;161.91;442.41;604.29;CCW
21;Bourges;Aléria;Sainte-Mère-Église;177.23;0.9;1.87;789.03;378.14;1166.87;CCW
22;Bourges;Aléria;Massif des Maures;11.79;23.05;145.16;789.03;540.52;282.41;CW
23;Bourges;Domrémy;3RDV;168.77;6.65;4.57;288.39;419.0;704.12;CCW
24;Bourges;Coetquidan;Vézelay;139.41;9.29;31.3;356.02;110.67;445.99;CW
25;Bourges;Fontevraud;Crécy-en-Ponthieu;79.62;71.91;28.47;178.24;354.72;367.18;CW
26;Bourges;Château-Gaillard;Montereau;32.48;33.18;114.33;250.89;150.7;148.03;CW
27;Bourges;Metz;Troyes;7.46;7.66;164.88;361.19;184.57;179.79;CCW
28;Bourges;Château-Gaillard;Guérande;67.18;72.08;40.75;250.89;366.43;354.74;CCW
29;Bourges;Île-d'Aix;Carnac;32.02;104.12;43.86;298.19;417.47;227.96;CW
30;Bourges;Châlus;Lampouy;78.58;71.13;30.29;192.14;360.84;373.41;CW
31;Bourges;Coetquidan;Chinon;13.15;10.71;156.14;356.02;163.63;200.14;CCW
32;Bourges;Domrémy;Rouen;76.76;50.56;52.69;288.39;279.67;353.1;CCW
