Rang;Ouverture;Base;Lumiere
1;Bourges;Rocamadour;La Ferté-Alais
2;Bourges;Rocamadour;Loches
3;Bourges;Saint-Amour;Jumièges
4;Bourges;Saint-Amour;Grotte de Lombrives
5;Bourges;Le Goulet;Pic du Midi
6;Bourges;Le Goulet;Beaugency
7;Bourges;Pont de Noirmoutier;Pertuis d'Antioche
8;Bourges;Pont de Noirmoutier;Mirebeau
9;Bourges;Rocamadour;Lac-de-Trémelin
10;Bourges;Rocamadour;St Julien de Mailloc
11;Bourges;Reims;Villefrancoeur
12;Bourges;Reims;Thury-sous-Clermont
13;Bourges;Gergovie;Rumigny
14;Bourges;Gergovie;Solesmes
15;Bourges;Carignan;Bâle
16;Bourges;Carignan;Boulogne-sur-Mer
17;Bourges;Bouvines;Paris
18;Bourges;Bouvines;Waterloo
19;Bourges;Île-d'Aix;Mayence
20;Bourges;Île-d'Aix;Pevensey
21;Bourges;Aléria;Massif des Maures
22;Bourges;Aléria;Sainte-Mère-Église
23;Bourges;Île-d'Aix;3RDV
24;Bourges;Île-d'Aix;Vézelay
25;Bourges;Metz;Brétigny
26;Bourges;Metz;Troyes
27;Bourges;Château-Gaillard;Montereau
28;Bourges;Château-Gaillard;Guérande
29;Bourges;Coetquidan;Rouen
30;Bourges;Coetquidan;Compiègne
31;Bourges;Domrémy;Donon
32;Bourges;Domrémy;Puy de Dôme
