Nom;Latitude;Longitude
Angers;47 28 25 N;0 33 15 W
Dieppe;49 55 21 N;1 04 42 E
Epernay;49 02 26 N;3 56 58 E
Forbach;49 11 20 N;6 54 03 E
Gérardmer;48 04 23 N;6 52 46 E
Hericourt;47 34 43 N;6 45 31 E
Issoire;45 33 00 N;3 15 00 E
Jarnac;45 40 53 N;0 10 33 W
;;
Roncevaux;43 01 13 N;1 19 26 W
Golfe-Juan; 43 34 07 N; 7 04 38 E
Sainte-Catherine-de-Fierbois; 47 09 30 N; 0 39 16 E
Alise-Sainte-Reine; 47 32 15 N; 4 29 27 E
Vouneuil-sur-Vienne; 46 43 04 N; 0 32 27 E
Nouaillé-Maupertuis; 46 30 34 N; 0 24 54 E
Saint-Valentin; 46 57 09 N; 1 51 56 E
3RDV; 45 34 48 N; 2 36 00 W
Loudun; 47 00 38 N; 0 05 04 E
;;
Bourges;47 04 52 N;2 23 54 E
Strasbourg; 48 35 00 N; 7 44 46 E
Orléans;47 51 46 N; 1 53 56 E
Sedan;49 42 09 N; 4 56 28 E
Cherbourg;49 38 20 N;1 37 30 W
Mont Saint Michel;48 38 10 N; 1 30 41 W
Pont Tancarville;49 28 23 N; 0 27 51 E
Burgos;42 20 27 N; 3 41 59 W
;;
Rocamadour; 44 48 01 N; 1 37 07 E
Saint-Amour; 46 26 11 N; 5 20 38 E
Aléria; 42 06 53 N; 9 30 48 E
Île-d'Aix; 46 00 46 N; 1 10 21 W
Coetquidan; 47 56 40 N; 2 09 28 W
Domrémy; 48 26 35 N; 5 40 33 E
Bouvines; 50 34 47 N; 3 11 14 E
Reims; 49 15 46 N; 4 02 05 E
Metz; 49 07 13 N; 6 10 40 E
Château-Gaillard; 49 14 17 N; 1 24 10 E
Gergovie; 45 42 46 N; 3 07 32 E
Carignan; 49 38 00 N; 5 10 07 E
Châlus; 45 39 21 N; 0 58 53 E
Fontevraud; 47 10 53 N; 0 03 05 E
Le Goulet; 49 08 42 N; 1 25 07 E
Pont de Noirmoutier;46 53 30 N; 2 08 59 W
;;
Jumièges;49 25 55 N; 0 49 09 E
Loches;47 07 37 N; 0 59 54 E
Grotte de Lombrives; 42 49 24 N; 1 36 59 E
St Julien de Mailloc; 49 04 51 N; 0 19 08 E
La Ferté-Alais;48 30 54 N; 2 26 40 E
Soulac-sur-Mer;45 30 43 N; 1 07 25 W
;;
Sainte-Mère-Église;49 24 32 N; 1 19 04 W
Massif des Maures;43 10 13 N; 6 31 52 E
Pevensey;50 49 14 N; 0 20 17 E
Mayence;50 00 00 N; 8 16 16 E
Vézelay; 47 27 59 N; 3 44 54 E
;;
Rouen;49 26 36 N; 1 06 00 E
Chinon; 47 10 04 N; 0 14 37 E
Donon; 48 30 48 N; 7 09 54 E
Puy de Dôme;45 46 18 N; 2 57 52 E
;;
Waterloo;50 40 41 N; 4 24 44 E
Boulogne-sur-Mer;50 43 35 N; 1 36 53 E
Paris; 48 50 11 N; 2 20 11 E
Turin; 45 04 00 N; 7 42 00 E
;;
Troyes;48 17 51 N; 4 04 27 E
Montereau;48 23 07 N; 2 57 03 E
Guérande;47 19 41 N; 2 25 46 W
Brétigny;48 25 02 N; 1 35 45 E
;;
Laon;49 33 50 N; 3 37 28 E
Solesmes;47 51 06 N; 0 18 07 W
Bâle;47 34 01 N; 7 34 59 E
Ham;49 44 35 N; 3 04 26 E
;;
Lampouy; 48 17 37 N; 2 03 53 W
Beaufort-en-Vallée; 47 26 25 N; 0 12 51 W
Carnac; 47 35 36 N; 03 04 47 W
;;
Beaugency;47 46 45 N; 1 37 57 E
Pic du Midi; 42 56 11 N; 0 08 34 E
Lac-de-Trémelin;48 6 3 N; 2 1 45 W
Pertuis d'Antioche;46 08 00 N;1 28 00 W
;;
X;45 14 18 N; 2 23 19 E
Tours;47 23 37 N; 0 41 21 E
Limoges;45 51 00 N; 1 15 00 E
Laffrey;45 01 37 N; 5 46 30 E
Beaurevoir;49 59 50 N; 3 18 35 E
Poitiers;46 34 55 N; 0 20 10 E
Saint-Valery-sur-Somme;50 11 20 N; 1 37 50 E
Crécy-en-Ponthieu; 50 15 11 N; 1 53 02 E
Compiègne;49 24 54 N; 2 49 23 E
Sourdon; 49 42 39 N; 2 23 54 E
Bordeaux;44 50 16 N; 0 34 46 W
Taillebourg;45 50 06 N; 0 38 49 W
Villefrancoeur;47 41 40 N; 1 13 12 E
Montbrison;45 36 30 N; 4 03 57 E
Thury-sous-Clermont;49 21 27 N; 2 19 38 E
Rumigny;49 48 33 N; 4 16 02 E
Belle-Ile-en-Mer;47 19 59 N; 3 11 13 W
Mirebeau;46 47 09 N; 0 10 57 E
